Country,Name,Q1,Q2,Q3,Q4,Q5,Q6
BOL,BOL4,0,0,0,-1,0,0
BTN,BTN1,0,0,0,-1,0,0
BTN,BTN3,0,0,0,0,0,-1
BTN,BTN4,0,0,0,0,-1,0
BTN,BTN5,-1,0,0,0,0,0
BWA,BWA1,-1,0,0,0,0,0
BWA,BWA3,0,-1,0,0,0,0
BWA,BWA4,0,0,0,-1,0,0
CIV,CIV1,-1,0,0,0,0,0
CUB,CUB1,-1,0,0,0,0,0
DEN,DEN1,-1,0,0,0,0,0
GHA,GHA3,-1,0,0,0,0,0
GHA,GHA4,0,0,-1,0,0,0
GHA,GHA5,0,0,0,0,0,-1
GHA,GHA6,0,-1,0,0,0,0
KEN,KEN6,-1,0,0,0,0,0
LUX,LUX5,-1,0,0,0,0,0
MMR,MMR6,0,-1,0,0,0,0
NPL,NPL4,0,0,-1,0,0,0
OMN,OMN3,0,0,0,-1,0,0
OMN,OMN4,0,0,0,0,-1,0
OMN,OMN5,-1,0,0,0,0,0
OMN,OMN6,0,0,0,0,0,-1
UAE,UAE2,0,0,0,-1,0,0
UAE,UAE4,-1,0,0,0,0,0
UAE,UAE5,0,-1,0,0,0,0
UGA,UGA1,-1,0,0,0,0,0
VEN,VEN3,-1,0,0,0,0,0
ALB,ALB4,0,0,0,1,0,-1
ALB,ALB5,1,-1,0,0,0,0
ALB,ALB6,1,0,0,-1,0,0
BOL,BOL3,1,-1,0,0,0,0
BWA,BWA2,0,0,0,1,-1,0
BWA,BWA6,1,0,-1,0,0,0
CIV,CIV3,1,0,0,-1,0,0
CIV,CIV5,1,0,-1,0,0,0
DOM,DOM2,1,0,-1,0,0,0
DOM,DOM5,-1,0,0,0,1,0
DOM,DOM6,1,0,0,0,-1,0
ECU,ECU5,1,-1,0,0,0,0
GHA,GHA2,1,0,0,0,-1,0
HND,HND1,1,0,0,-1,0,0
IRQ,IRQ4,1,0,0,0,-1,0
IRQ,IRQ5,1,0,-1,0,0,0
KEN,KEN1,1,0,-1,0,0,0
KEN,KEN3,1,0,0,-1,0,0
KSV,KSV5,-1,0,0,0,1,0
LVA,LVA5,1,0,0,0,-1,0
MAC,MAC2,1,0,0,0,-1,0
NPL,NPL6,-1,0,0,0,1,0
OMN,OMN2,1,-1,0,0,0,0
PAK,PAK5,-1,0,0,1,0,0
PAR,PAR1,1,0,0,-1,0,0
RWA,RWA6,1,0,0,0,-1,0
TJK,TJK4,1,-1,0,0,0,0
TTO,TTO5,-1,0,0,0,1,0
TUN,TUN4,-1,1,0,0,0,0
UAE,UAE6,1,0,0,0,-1,0
UGA,UGA4,1,0,0,-1,0,0
UGA,UGA6,1,0,0,0,0,-1
VEN,VEN2,1,0,0,-1,0,0
ARG,ARG6,1,0,0,0,1,-1
BGD,BGD3,-1,2,0,0,0,0
CIV,CIV2,2,-1,0,0,0,0
EST,EST5,2,0,0,-1,0,0
ISL,ISL1,1,0,0,1,-1,0
KEN,KEN4,1,-1,0,0,1,0
MAC,MAC4,2,0,-1,0,0,0
NOR,NOR5,1,0,0,1,-1,0
OMN,OMN1,1,0,-1,0,1,0
PAR,PAR3,1,-1,0,1,0,0
PRI,PRI2,2,-1,0,0,0,0
SLV,SLV3,1,0,0,1,0,-1
SYR,SYR5,-1,2,0,0,0,0
URY,URY6,1,0,0,1,-1,0
CHI,CHI1,3,0,0,-1,0,0
CIV,CIV4,2,0,0,0,1,-1
ECU,ECU4,-1,0,0,3,0,0
GHA,GHA1,3,0,0,-1,0,0
ISL,ISL2,2,1,-1,0,0,0
ISL,ISL3,3,0,0,0,0,-1
KEN,KEN2,3,0,0,0,0,-1
KSV,KSV6,3,0,0,0,0,-1
LKA,LKA3,-1,0,0,3,0,0
LUX,LUX4,3,0,-1,0,0,0
MMR,MMR5,3,0,0,0,0,-1
NPL,NPL3,3,-1,0,0,0,0
NPL,NPL5,3,0,0,0,-1,0
RWA,RWA3,2,0,0,-1,1,0
SYR,SYR6,1,2,0,0,0,-1
UZB,UZB1,1,2,-1,0,0,0
AZE,AZE5,-1,2,0,2,0,0
BEL,BEL4,4,0,-1,0,0,0
BEL,BEL6,-1,1,0,0,3,0
CRI,CRI4,1,1,0,1,1,-1
CUB,CUB6,1,0,0,3,0,-1
ISL,ISL5,4,0,0,-1,0,0
MMR,MMR4,4,0,0,-1,0,0
NPL,NPL1,3,1,0,-1,0,0
PAK,PAK6,4,0,0,0,0,-1
SAF,SAF5,2,2,0,-1,0,0
TTO,TTO4,1,-1,0,3,0,0
URY,URY2,2,0,0,2,0,-1
CIV,CIV6,2,0,0,3,-1,0
EST,EST3,-1,4,0,1,0,0
IRL,IRL2,-1,0,0,5,0,0
SLV,SLV2,3,0,-1,1,1,0
UGA,UGA5,1,0,-1,3,1,0
ECU,ECU2,6,0,0,0,-1,0
FIN,FIN1,6,0,0,0,0,-1
FIN,FIN6,6,0,0,-1,0,0
IRL,IRL6,5,-1,0,1,0,0
ISL,ISL4,0,-1,0,0,6,0
KGZ,KGZ5,1,5,0,-1,0,0
MKD,MKD6,6,0,0,-1,0,0
SAU,SAU6,6,0,0,-1,0,0
TUN,TUN2,6,0,-1,0,0,0
UGA,UGA3,0,0,0,6,-1,0
URY,URY3,4,-1,0,1,1,0
ALB,ALB1,-1,0,0,7,0,0
ALG,ALG3,6,1,0,-1,0,0
BTN,BTN2,3,-1,0,1,3,0
BWA,BWA5,7,0,0,0,0,-1
CUB,CUB4,7,0,0,-1,0,0
CZE,CZE2,-1,0,0,7,0,0
DOM,DOM1,7,0,0,0,0,-1
DOM,DOM3,7,0,0,-1,0,0
ECU,ECU3,7,0,0,-1,0,0
ECU,ECU6,0,0,0,0,7,-1
GEO,GEO6,4,2,0,1,0,-1
IDN,IDN1,-1,0,0,7,0,0
IDN,IDN5,7,0,0,-1,0,0
LIE,LIE1,7,0,0,-1,0,0
LKA,LKA4,7,-1,0,0,0,0
LKA,LKA5,7,0,0,-1,0,0
LTU,LTU6,7,0,0,-1,0,0
LVA,LVA2,-1,0,0,7,0,0
MAC,MAC1,7,0,0,0,0,-1
MAC,MAC3,7,0,0,-1,0,0
MAC,MAC6,-1,0,0,7,0,0
MMR,MMR1,7,0,-1,0,0,0
MMR,MMR2,-1,0,0,7,0,0
NPL,NPL2,7,0,0,0,0,-1
PAK,PAK3,7,0,0,-1,0,0
PAR,PAR4,5,0,-1,1,1,0
POR,POR1,7,0,-1,0,0,0
POR,POR3,7,0,0,0,-1,0
POR,POR5,2,1,2,2,0,-1
POR,POR6,-1,0,0,7,0,0
PRI,PRI3,6,0,0,0,1,-1
RWA,RWA1,-1,0,0,7,0,0
RWA,RWA2,7,-1,0,0,0,0
RWA,RWA4,7,0,-1,0,0,0
RWA,RWA5,7,0,0,0,0,-1
SVN,SVN3,7,0,0,-1,0,0
TTO,TTO1,7,0,0,-1,0,0
TTO,TTO2,3,0,-1,4,0,0
URY,URY1,7,0,0,-1,0,0
URY,URY5,-1,0,0,7,0,0
ALG,ALG5,-1,1,0,7,0,0
AZE,AZE1,7,1,-1,0,0,0
AZE,AZE4,7,-1,0,1,0,0
AZE,AZE6,7,1,0,-1,0,0
BEL,BEL5,7,0,0,1,0,-1
BOL,BOL2,7,0,-1,1,0,0
CRI,CRI1,-1,1,0,7,0,0
CRI,CRI5,1,0,0,7,-1,0
CYP,CYP6,1,0,0,7,-1,0
ESP,ESP5,6,1,0,1,0,-1
EST,EST4,1,-1,0,7,0,0
KSV,KSV1,7,0,0,-1,1,0
KSV,KSV2,7,-1,0,1,0,0
LKA,LKA6,7,1,0,0,-1,0
LUX,LUX3,7,0,0,-1,1,0
LUX,LUX6,7,0,0,1,-1,0
LVA,LVA3,7,1,0,-1,0,0
MEX,MEX5,6,1,0,-1,1,0
MKD,MKD3,-1,1,0,7,0,0
PER,PER1,-1,7,0,0,1,0
PHI,PHI2,7,1,0,-1,0,0
PRI,PRI1,7,0,0,1,-1,0
SUI,SUI2,-1,1,0,7,0,0
SYR,SYR3,7,1,-1,0,0,0
TJK,TJK1,-1,2,0,5,1,0
TJK,TJK3,6,2,0,-1,0,0
UGA,UGA2,7,-1,0,1,0,0
ALG,ALG1,1,-1,0,7,1,0
ALG,ALG4,6,2,0,1,-1,0
ARG,ARG3,7,2,0,-1,0,0
AUS,AUS2,2,-1,0,7,0,0
COL,COL5,1,1,0,7,-1,0
CYP,CYP4,7,-1,0,2,0,0
CYP,CYP5,2,0,0,7,0,-1
DEN,DEN4,7,2,0,-1,0,0
ESP,ESP1,-1,7,0,1,0,1
GEO,GEO4,7,2,0,-1,0,0
HEL,HEL4,-1,2,0,7,0,0
IRL,IRL1,7,2,0,-1,0,0
IRQ,IRQ1,7,2,0,-1,0,0
ISL,ISL6,-1,0,0,2,7,0
KAZ,KAZ6,2,0,-1,7,0,0
LTU,LTU4,-1,0,0,2,7,0
MDA,MDA2,-1,0,1,7,1,0
MMR,MMR3,2,0,0,7,-1,0
NIC,NIC1,7,1,0,-1,1,0
NLD,NLD3,-1,1,0,7,1,0
NOR,NOR2,7,2,0,-1,0,0
PHI,PHI6,-1,2,0,7,0,0
POR,POR4,7,-1,0,2,0,0
SRB,SRB5,7,2,0,-1,0,0
SUI,SUI5,7,2,0,-1,0,0
SVK,SVK2,-1,2,0,0,7,0
SYR,SYR2,7,2,0,-1,0,0
ALB,ALB3,3,0,-1,7,0,0
ARM,ARM4,-1,2,1,7,0,0
AUS,AUS5,7,2,0,-1,1,0
AZE,AZE2,1,2,0,7,0,-1
BGD,BGD4,3,0,-1,7,0,0
BOL,BOL1,-1,2,0,7,0,1
ESP,ESP3,7,2,0,1,-1,0
FIN,FIN4,-1,2,0,2,6,0
FIN,FIN5,7,2,-1,1,0,0
HRV,HRV3,6,3,0,-1,0,1
IRN,IRN1,-1,1,1,7,0,1
KGZ,KGZ6,1,2,0,7,-1,0
KSV,KSV3,7,0,-1,3,0,0
KSV,KSV4,1,2,0,7,-1,0
LVA,LVA6,3,0,0,7,0,-1
NLD,NLD5,7,-1,0,2,1,0
NOR,NOR6,-1,3,0,7,0,0
PAK,PAK2,6,-1,0,4,0,0
PAN,PAN1,3,0,-1,7,0,0
PAR,PAR2,3,0,0,7,-1,0
SAU,SAU2,-1,2,0,7,1,0
SLV,SLV1,3,-1,0,7,0,0
SVN,SVN6,-1,2,0,7,0,1
THA,THA6,-1,3,0,7,0,0
TJK,TJK5,1,2,0,7,-1,0
TUN,TUN5,3,0,0,7,0,-1
UZB,UZB2,7,2,0,-1,1,0
BGR,BGR4,-1,2,0,7,1,1
BRA,BRA5,1,-1,0,7,2,1
IRQ,IRQ2,-1,2,0,2,7,0
MAC,MAC5,4,-1,0,7,0,0
MDA,MDA5,3,1,0,7,-1,0
PER,PER5,7,2,0,-1,0,2
TUN,TUN3,3,1,0,-1,7,0
ARG,ARG4,-1,2,0,2,7,1
AUT,AUT3,3,2,0,-1,7,0
BGD,BGD5,3,2,0,-1,7,0
COL,COL3,-1,0,0,7,5,0
FRA,FRA3,4,-1,0,7,1,0
GER,GER3,-1,3,0,2,7,0
PHI,PHI1,5,-1,0,7,0,0
SAF,SAF4,4,2,0,5,1,-1
SVK,SVK4,3,2,0,7,0,-1
SVK,SVK6,7,1,3,0,-1,1
SVN,SVN5,6,0,-1,6,0,0
TKM,TKM5,3,2,-1,7,0,0
VNM,VNM3,2,2,-1,7,0,1
ARM,ARM3,7,-1,1,5,0,0
ARM,ARM6,3,3,0,7,0,-1
CAN,CAN6,2,2,2,7,-1,0
COL,COL6,7,0,0,-1,6,0
EST,EST1,6,0,-1,0,7,0
FIN,FIN3,7,-1,0,0,6,0
MDA,MDA4,7,0,0,1,5,-1
SWE,SWE1,7,6,0,-1,0,0
SWE,SWE2,-1,2,1,2,7,1
TKM,TKM3,6,0,0,7,-1,0
UKR,UKR6,5,-1,0,7,1,0
VEN,VEN1,5,-1,0,4,4,0
ALG,ALG6,7,0,-1,7,0,0
ARM,ARM2,4,2,0,-1,7,1
ARM,ARM5,7,0,0,7,-1,0
BGD,BGD2,7,-1,0,7,0,0
BIH,BIH5,7,-1,0,7,0,0
BLR,BLR5,7,0,0,7,-1,0
CHI,CHI2,7,-1,0,0,7,0
CRI,CRI2,7,0,0,-1,7,0
CUB,CUB2,7,0,0,7,-1,0
CUB,CUB3,7,0,-1,7,0,0
DEN,DEN2,7,0,-1,0,7,0
DEN,DEN3,7,1,0,6,-1,0
DOM,DOM4,7,-1,0,0,7,0
ESP,ESP6,7,-1,0,7,0,0
GEO,GEO3,7,-1,0,7,0,0
GEO,GEO5,-1,0,0,7,7,0
GER,GER2,7,-1,0,7,0,0
IND,IND6,7,-1,0,7,0,0
IRL,IRL4,7,0,-1,0,7,0
IRL,IRL5,6,0,0,7,1,-1
IRQ,IRQ3,7,-1,0,7,0,0
ITA,ITA1,7,7,0,-1,0,0
JPN,JPN6,7,7,0,0,-1,0
LTU,LTU5,7,0,0,7,0,-1
LUX,LUX1,7,-1,0,7,0,0
LVA,LVA4,7,-1,0,7,0,0
MKD,MKD5,7,-1,0,7,0,0
NOR,NOR4,7,-1,0,7,0,0
POL,POL3,-1,7,0,7,0,0
POR,POR2,7,2,0,-1,5,0
SAF,SAF2,7,0,0,7,-1,0
SAU,SAU4,7,0,0,7,-1,0
SAU,SAU5,7,-1,0,7,0,0
SUI,SUI3,7,-1,0,7,0,0
SVN,SVN1,7,0,0,7,-1,0
SVN,SVN4,6,-1,0,7,1,0
SWE,SWE6,7,-1,0,7,0,0
SYR,SYR1,7,0,0,7,-1,0
SYR,SYR4,7,-1,0,7,0,0
THA,THA1,7,7,0,0,-1,0
TKM,TKM1,7,-1,0,7,0,0
TUN,TUN6,7,-1,0,7,0,0
TUR,TUR6,7,7,0,-1,0,0
TWN,TWN5,7,-1,0,7,0,0
AUS,AUS4,7,1,-1,7,0,0
AUT,AUT2,-1,7,1,7,0,0
AUT,AUT6,7,-1,1,7,0,0
BEL,BEL3,7,7,0,-1,1,0
BGR,BGR6,7,0,-1,7,1,0
BIH,BIH3,-1,1,0,7,7,0
BLR,BLR6,7,-1,0,7,1,0
BRA,BRA3,-1,7,0,7,0,1
BRA,BRA4,7,7,0,-1,1,0
COL,COL1,7,1,-1,7,0,0
COL,COL2,7,1,0,7,0,-1
COL,COL4,7,-1,0,7,1,0
CRI,CRI3,7,-1,0,7,1,0
CUB,CUB5,7,-1,0,7,0,1
CYP,CYP1,-1,7,0,7,1,0
CZE,CZE1,7,0,0,7,1,-1
CZE,CZE6,7,-1,0,7,1,0
DEN,DEN6,7,1,0,7,0,-1
ESP,ESP2,7,0,-1,0,7,1
ESP,ESP4,7,2,0,-1,6,0
EST,EST2,7,1,0,7,-1,0
HRV,HRV6,7,1,-1,7,0,0
HUN,HUN6,7,-1,0,7,1,0
IDN,IDN4,7,1,0,7,-1,0
IRL,IRL3,7,1,0,7,-1,0
ISR,ISR6,7,6,2,-1,0,0
JPN,JPN5,-1,5,0,7,0,3
KAZ,KAZ1,7,7,0,-1,0,1
KGZ,KGZ4,-1,2,0,7,5,1
MAS,MAS2,-1,7,0,7,1,0
MKD,MKD2,7,2,0,6,-1,0
NZL,NZL2,-1,7,0,7,1,0
NZL,NZL5,7,-1,0,7,1,0
PER,PER4,7,-1,0,7,1,0
POL,POL1,7,1,0,7,-1,0
ROU,ROU5,7,7,0,-1,0,1
SAF,SAF1,7,-1,0,7,1,0
SAF,SAF3,-1,1,0,7,7,0
SAF,SAF6,7,1,-1,7,0,0
SRB,SRB6,7,1,-1,7,0,0
SUI,SUI4,7,1,0,7,-1,0
SVK,SVK5,7,-1,0,7,1,0
THA,THA5,7,1,-1,7,0,0
TTO,TTO3,7,1,0,0,7,-1
TUN,TUN1,7,1,0,7,-1,0
TUR,TUR4,7,-1,1,7,0,0
UKR,UKR5,7,7,0,-1,1,0
URY,URY4,7,1,-1,7,0,0
VNM,VNM4,-1,1,0,7,7,0
VNM,VNM6,7,-1,0,7,0,1
ALB,ALB2,7,2,0,7,-1,0
ARG,ARG2,7,2,0,7,-1,0
ARG,ARG5,7,2,-1,0,7,0
AUS,AUS6,7,2,0,7,-1,0
AZE,AZE3,7,2,0,7,-1,0
BEL,BEL2,7,2,0,7,-1,0
BGD,BGD6,7,2,0,7,-1,0
BIH,BIH6,7,1,0,7,1,-1
CHN,CHN3,-1,7,2,7,0,0
CYP,CYP2,7,1,-1,7,0,1
CYP,CYP3,7,1,0,-1,7,1
CZE,CZE3,7,2,0,-1,7,0
CZE,CZE4,7,2,0,7,-1,0
GER,GER5,7,7,0,2,0,-1
GER,GER6,7,2,0,-1,7,0
HKG,HKG4,7,2,0,7,-1,0
HKG,HKG6,7,7,1,-1,0,1
HRV,HRV2,-1,1,0,7,7,1
HRV,HRV5,7,2,0,7,-1,0
ISR,ISR5,7,2,0,7,0,-1
JPN,JPN2,7,2,0,7,0,-1
LKA,LKA1,7,2,0,7,0,-1
LKA,LKA2,7,1,-1,7,1,0
LTU,LTU2,7,2,-1,7,0,0
LUX,LUX2,7,2,0,7,0,-1
MAS,MAS1,7,2,0,7,-1,0
MAS,MAS3,7,1,0,7,1,-1
MAS,MAS4,7,-1,1,7,0,1
MDA,MDA1,7,7,1,-1,1,0
MEX,MEX6,-1,0,2,7,7,0
NLD,NLD2,7,2,0,7,0,-1
NZL,NZL1,7,2,0,7,-1,0
NZL,NZL6,7,2,0,-1,7,0
PAK,PAK4,2,0,-1,7,7,0
PER,PER6,7,2,0,7,0,-1
SGP,SGP1,7,-1,2,7,0,0
SWE,SWE3,7,1,0,7,1,-1
SWE,SWE4,7,2,0,7,-1,0
THA,THA3,7,7,1,-1,1,0
TKM,TKM2,-1,7,1,7,1,0
TKM,TKM4,7,2,0,-1,6,1
UKR,UKR1,7,2,-1,0,7,0
UKR,UKR2,-1,2,0,7,7,0
UKR,UKR3,7,2,0,7,0,-1
UNK,UNK4,7,2,0,7,-1,0
UZB,UZB5,7,2,0,7,-1,0
VNM,VNM2,7,7,0,-1,0,2
AUS,AUS1,-1,7,2,7,1,0
BGR,BGR3,7,2,1,7,-1,0
CAN,CAN1,7,-1,3,7,0,0
CAN,CAN4,7,1,0,-1,7,2
FRA,FRA1,7,2,-1,7,1,0
GER,GER1,7,1,2,7,-1,0
HEL,HEL2,7,2,-1,7,1,0
HEL,HEL6,7,2,0,7,-1,1
HKG,HKG5,-1,7,0,7,3,0
HRV,HRV4,7,2,0,7,1,-1
IDN,IDN3,7,2,0,7,1,-1
ITA,ITA3,7,2,0,7,-1,1
KOR,KOR5,7,-1,2,7,0,1
MEX,MEX2,7,2,0,1,7,-1
MNG,MNG2,7,2,0,7,-1,1
NLD,NLD1,3,7,0,7,-1,0
THA,THA2,3,-1,0,7,7,0
TUR,TUR2,3,2,0,7,-1,5
UZB,UZB6,-1,5,0,7,5,0
AUT,AUT1,7,2,0,7,-1,2
BGR,BGR1,7,7,2,-1,1,1
BGR,BGR5,7,-1,1,7,3,0
FRA,FRA4,7,2,0,-1,7,2
GEO,GEO2,7,3,0,7,-1,1
HUN,HUN2,-1,2,1,7,7,1
ISR,ISR2,-1,7,2,7,0,2
MAS,MAS5,7,2,-1,7,1,1
MEX,MEX4,7,4,0,7,-1,0
NOR,NOR1,7,2,-1,2,7,0
NOR,NOR3,7,1,0,7,3,-1
ROU,ROU6,4,7,0,7,-1,0
SRB,SRB2,-1,7,1,7,3,0
SRB,SRB3,7,1,7,0,-1,3
TJK,TJK6,7,2,-1,7,1,1
ARG,ARG1,7,-1,0,7,5,0
BEL,BEL1,7,-1,0,7,5,0
ECU,ECU1,5,0,-1,7,7,0
FIN,FIN2,7,2,2,7,-1,1
HKG,HKG3,7,-1,1,7,0,4
KAZ,KAZ3,5,7,0,7,0,-1
KAZ,KAZ5,7,7,0,5,-1,0
MNG,MNG6,7,7,0,-1,5,0
TWN,TWN3,7,7,3,-1,1,1
BGD,BGD1,6,1,0,7,6,-1
BRA,BRA1,7,7,3,3,0,-1
CAN,CAN5,-1,1,3,7,3,6
CRI,CRI6,6,0,-1,7,7,0
EST,EST6,7,1,0,7,5,-1
HRV,HRV1,7,-1,0,7,5,1
KOR,KOR2,7,7,1,-1,0,5
NLD,NLD4,6,0,-1,7,7,0
PHI,PHI3,7,6,0,7,-1,0
SAU,SAU3,5,7,0,7,1,-1
SGP,SGP2,7,2,1,-1,7,3
ARM,ARM1,7,7,-1,7,0,0
CAN,CAN2,7,5,-1,7,1,1
CAN,CAN3,7,7,0,7,0,-1
DEN,DEN5,7,-1,0,7,7,0
HEL,HEL1,7,7,0,7,0,-1
HEL,HEL5,7,-1,0,7,7,0
HUN,HUN1,7,7,0,7,-1,0
HUN,HUN5,7,7,6,1,0,-1
IDN,IDN6,7,7,-1,7,0,0
IRN,IRN4,7,7,0,7,-1,0
ISR,ISR3,7,7,-1,7,0,0
KAZ,KAZ2,7,-1,0,7,5,2
KAZ,KAZ4,-1,7,0,7,7,0
KGZ,KGZ3,7,-1,0,7,7,0
LVA,LVA1,7,0,-1,7,7,0
MAS,MAS6,7,7,0,-1,7,0
MDA,MDA3,7,-1,0,7,7,0
MKD,MKD4,7,2,0,7,5,-1
MNG,MNG3,7,7,0,7,0,-1
MNG,MNG4,7,-1,0,7,7,0
MNG,MNG5,7,7,-1,7,0,0
NLD,NLD6,7,6,0,-1,7,1
NZL,NZL3,7,1,-1,7,6,0
PER,PER2,7,5,0,7,-1,2
PHI,PHI4,7,2,0,7,5,-1
POL,POL4,7,7,0,-1,7,0
ROU,ROU4,-1,7,0,7,7,0
SGP,SGP5,-1,7,0,7,7,0
SRB,SRB1,7,-1,6,7,0,1
SUI,SUI6,7,0,-1,7,7,0
THA,THA4,7,7,0,7,0,-1
TJK,TJK2,7,0,0,7,7,-1
TWN,TWN1,7,0,0,7,7,-1
TWN,TWN2,7,5,2,7,-1,0
UNK,UNK6,7,-1,0,7,7,0
UZB,UZB4,7,7,0,7,0,-1
VNM,VNM5,7,7,0,7,0,-1
AUT,AUT4,7,1,0,7,7,-1
AUT,AUT5,7,7,-1,1,7,0
BIH,BIH4,7,7,0,7,-1,1
BRA,BRA2,7,7,0,7,-1,1
BRA,BRA6,7,7,-1,7,0,1
FRA,FRA5,7,7,0,7,-1,1
FRA,FRA6,7,1,0,7,7,-1
HKG,HKG1,7,7,-1,7,1,0
IDN,IDN2,7,-1,0,7,7,1
IRN,IRN2,7,7,-1,7,1,0
IRN,IRN6,7,7,0,7,1,-1
ISR,ISR4,7,7,1,7,-1,0
ITA,ITA2,7,-1,0,7,7,1
ITA,ITA5,7,7,0,1,7,-1
ITA,ITA6,-1,7,3,7,5,0
MNG,MNG1,-1,7,0,7,7,1
NZL,NZL4,7,1,0,7,7,-1
PAK,PAK1,7,7,1,7,-1,0
POL,POL2,7,-1,0,7,7,1
ROU,ROU2,7,7,1,7,0,-1
ROU,ROU3,7,-1,1,4,7,3
SAU,SAU1,7,7,-1,7,1,0
SWE,SWE5,7,1,-1,7,6,1
TKM,TKM6,7,2,0,7,6,-1
TWN,TWN4,-1,7,1,7,7,0
UKR,UKR4,7,7,1,7,-1,0
USA,USA6,7,7,0,5,-1,3
UZB,UZB3,7,-1,1,7,7,0
BGR,BGR2,7,2,0,7,7,-1
BLR,BLR4,-1,7,0,7,7,2
CHN,CHN1,7,7,-1,7,0,2
CHN,CHN6,7,-1,7,7,1,1
FRA,FRA2,-1,7,5,7,1,3
HEL,HEL3,7,7,1,-1,7,1
IRN,IRN5,7,7,1,-1,7,1
JPN,JPN1,7,2,-1,7,7,0
JPN,JPN4,7,7,2,-1,7,0
KGZ,KGZ2,7,2,-1,7,7,0
PHI,PHI5,7,2,-1,7,7,0
SVK,SVK1,7,7,2,-1,7,0
SVK,SVK3,7,2,-1,7,7,0
SVN,SVN2,7,2,0,7,7,-1
VNM,VNM1,7,7,2,7,-1,0
BIH,BIH2,7,7,2,-1,7,1
CZE,CZE5,6,3,-1,7,7,1
GER,GER4,5,7,-1,7,5,0
IND,IND3,7,7,2,7,-1,1
IRN,IRN3,7,-1,0,7,7,3
MEX,MEX1,7,-1,2,7,7,1
SGP,SGP6,7,7,2,7,1,-1
UNK,UNK5,7,7,2,-1,7,1
BLR,BLR2,7,7,2,-1,7,2
CHN,CHN2,7,7,1,-1,7,3
IND,IND2,7,7,2,-1,7,2
ISR,ISR1,7,-1,2,7,7,2
KOR,KOR6,7,7,-1,7,0,4
MEX,MEX3,7,3,-1,7,7,1
POL,POL6,7,2,2,7,7,-1
SGP,SGP4,7,7,2,7,-1,2
TUR,TUR1,-1,7,2,7,7,2
UNK,UNK3,7,7,4,7,0,-1
USA,USA3,-1,7,3,7,7,1
ROU,ROU1,7,7,-1,7,0,5
TUR,TUR3,7,7,-1,7,0,5
KOR,KOR4,7,7,6,7,0,-1
LTU,LTU1,7,-1,6,7,7,0
USA,USA1,7,7,6,7,0,-1
ALG,ALG2,7,7,0,7,7,-1
BLR,BLR1,7,7,-1,7,7,0
HKG,HKG2,7,7,2,7,5,-1
HUN,HUN3,7,7,7,-1,7,0
HUN,HUN4,7,7,-1,7,7,0
IND,IND1,-1,7,4,7,7,3
IND,IND5,7,5,2,7,7,-1
ITA,ITA4,7,7,-1,7,7,0
KGZ,KGZ1,7,7,0,7,7,-1
KOR,KOR3,-1,2,7,7,7,5
PER,PER3,7,7,-1,7,7,0
POL,POL5,7,7,-1,7,7,0
SGP,SGP3,7,7,-1,7,7,0
SRB,SRB4,7,7,0,7,7,-1
TUR,TUR5,7,7,2,7,5,-1
UNK,UNK1,-1,7,2,7,7,5
UNK,UNK2,7,7,-1,7,7,0
USA,USA4,7,7,5,-1,7,2
AUS,AUS3,7,7,1,7,7,-1
BIH,BIH1,7,7,-1,7,7,1
GEO,GEO1,7,7,-1,7,7,1
USA,USA2,7,6,-1,7,7,2
BLR,BLR3,7,7,2,7,7,-1
IND,IND4,7,7,-1,7,7,2
JPN,JPN3,7,-1,2,7,7,7
KOR,KOR1,7,7,2,7,-1,7
MKD,MKD1,7,7,-1,7,7,2
SUI,SUI1,7,7,2,7,7,-1
TWN,TWN6,7,7,-1,7,7,2
USA,USA5,7,-1,3,7,7,7
CHN,CHN4,7,7,7,7,-1,7
CHN,CHN5,7,7,7,7,7,-1
